season,week,team,opponent_team,season_type,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,passing_first_downs,passing_epa,carries,rushing_yards,rushing_tds,rushing_fumbles_lost,rushing_first_downs,rushing_epa,def_sacks,def_qb_hits,def_interceptions,def_pass_defended,def_fumbles_forced,def_tds,fg_made,fg_att,fg_long,pat_made,pat_att,penalties,penalty_yards,team_score,opponent_score,injury_impact_score,noteworthy_injuries_count
2025,1,SF,SEA,REG,26,35,277,2,2,1,15,13.329884157278123,36,119,0,0,7,-5.458840667270124,1.0,2,0,3,2,0,1,3,32.0,2,2,9,61,17.0,13.0,28.5,6.0
2025,1,TB,ATL,REG,17,32,167,3,0,1,10,5.766234403595268,23,101,0,0,6,0.5059995500487275,1.0,4,0,6,0,0,1,2,48.0,2,3,5,60,23.0,20.0,21.0,4.0
2025,1,TEN,DEN,REG,12,28,112,0,0,6,5,-13.389458418787804,21,71,0,1,2,-9.17674626053992,1.0,5,2,5,1,0,4,4,50.0,0,0,13,131,12.0,20.0,23.0,7.0
2025,1,WAS,NYG,REG,19,30,233,1,0,3,11,1.364757596165873,32,220,2,0,11,7.834049331839196,2.0,8,0,7,1,0,0,0,,3,3,12,89,21.0,6.0,0.0,0.0
2025,2,ARI,CAR,REG,17,25,220,1,1,1,10,6.139767758614543,22,82,1,0,5,-0.17023573273456716,3.0,10,1,9,1,0,2,2,47.0,3,3,12,96,27.0,22.0,21.0,4.0
2025,2,ATL,MIN,REG,13,21,135,0,0,3,5,-3.2441715903873147,39,218,1,0,12,6.12384862778179,6.0,11,2,4,1,0,5,5,54.0,1,1,5,29,22.0,6.0,28.5,6.0
2025,2,BAL,CLE,REG,19,29,225,4,0,3,10,9.342703126255497,21,45,0,0,2,-3.0972603702684864,2.0,9,1,5,1,0,2,2,43.0,5,5,6,28,41.0,17.0,21.0,4.0
2025,2,BUF,NYJ,REG,15,27,180,0,0,1,9,0.27227155733545283,43,224,3,0,12,9.725426063800747,4.0,7,0,4,3,0,3,3,52.0,3,3,6,69,30.0,10.0,21.0,6.0
2025,2,CAR,ARI,REG,35,55,328,3,1,3,19,3.2342329092731377,19,49,0,0,4,-4.658607418095693,1.0,4,1,5,0,0,1,1,27.0,1,1,7,83,22.0,27.0,13.5,2.0
2025,2,CHI,DET,REG,21,33,234,2,1,4,11,-0.06921279421658255,27,134,1,1,8,-10.55241193177062,0.0,4,0,0,0,0,0,0,,3,3,8,50,21.0,52.0,18.5,5.0
2025,2,CIN,JAX,REG,28,45,317,3,3,3,17,-1.8282178881594828,17,48,1,0,5,1.3624283743847627,1.0,4,2,8,0,0,1,1,31.0,4,4,3,29,31.0,27.0,18.0,5.0
2025,2,CLE,BAL,REG,28,48,218,2,1,2,10,-23.316518904513376,22,115,0,0,7,4.384331928042229,3.0,5,0,5,1,0,1,1,38.0,2,2,6,42,17.0,41.0,21.5,6.0
2025,2,DAL,NYG,REG,38,52,361,2,1,3,18,10.098487662582055,28,135,2,0,9,0.9983154268064145,2.0,6,1,2,0,0,4,4,64.0,4,4,12,106,40.0,37.0,15.0,4.0
2025,2,DEN,IND,REG,22,30,206,3,1,0,11,8.345343489918493,24,118,1,0,7,2.0129898277227767,1.0,6,0,5,0,0,0,1,,4,4,8,83,28.0,29.0,3.5,1.0
2025,2,DET,CHI,REG,23,28,334,5,0,0,15,24.103420304085986,30,177,2,0,10,-0.35298650549658195,4.0,4,1,5,1,0,1,2,34.0,7,7,3,28,52.0,21.0,15.0,4.0
2025,2,GB,WAS,REG,19,31,292,2,0,2,14,6.662380209949733,30,135,1,0,6,1.2424638609575576,4.0,12,0,8,0,0,2,3,56.0,3,3,10,77,27.0,18.0,15.0,4.0
2025,2,HOU,TB,REG,13,24,207,1,0,3,7,-4.481482616525894,19,84,1,0,3,1.4734649395104498,4.0,6,0,3,1,0,2,2,53.0,1,1,6,45,19.0,20.0,3.5,1.0
2025,2,IND,DEN,REG,23,34,316,1,0,1,16,10.95338626059685,32,167,1,0,6,-0.8950309250502064,0.0,0,1,4,0,0,5,5,45.0,2,2,11,68,29.0,28.0,11.5,3.0
2025,2,JAX,CIN,REG,24,42,271,3,2,1,15,5.005488552057198,27,139,0,0,6,1.5001768789282717,3.0,9,3,12,0,0,2,2,42.0,3,3,6,55,27.0,31.0,13.5,4.0
2025,2,KC,PHI,REG,16,29,187,1,1,2,7,-7.1535654113225045,26,121,1,0,9,-0.55819323484677,1.0,3,0,4,0,0,1,2,56.0,2,2,6,45,17.0,20.0,3.5,1.0
2025,2,LA,TEN,REG,23,33,298,2,1,1,12,9.779970589626963,25,149,2,0,8,6.441171789570944,5.0,8,0,4,1,0,2,2,21.0,3,4,4,29,33.0,19.0,0.0,0.0
2025,2,LAC,LV,REG,19,27,242,2,0,2,8,10.168125412291895,26,81,0,1,8,-15.545511525741837,3.0,5,3,15,0,0,2,2,38.0,2,2,6,33,20.0,9.0,15.0,4.0
2025,2,LV,LAC,REG,24,43,180,0,3,3,8,-23.067928140179568,19,68,0,0,5,-2.4044838724657893,2.0,3,0,6,0,0,3,3,54.0,0,0,5,47,9.0,20.0,21.5,6.0
2025,2,MIA,NE,REG,26,32,315,2,1,5,15,9.932129502697004,15,61,0,0,1,-1.0982281458564103,3.0,3,0,2,0,0,2,2,44.0,3,3,10,65,27.0,33.0,10.5,3.0
2025,2,MIN,ATL,REG,11,21,158,0,2,6,7,-17.96655729044881,19,78,0,0,4,-2.743778312113136,3.0,5,0,1,1,0,2,2,51.0,0,0,8,50,6.0,22.0,17.5,3.0
2025,2,NE,MIA,REG,19,23,230,2,0,3,9,14.990500148140681,29,122,1,0,9,3.2374252289738505,5.0,5,1,2,0,0,2,2,53.0,1,3,12,75,33.0,27.0,14.0,4.0
2025,2,NO,SF,REG,25,34,207,3,0,3,12,-2.823341653949246,30,121,0,0,6,2.2594495065277442,3.0,6,0,6,1,0,0,1,,3,3,7,45,21.0,26.0,21.5,6.0
2025,2,NYG,DAL,REG,30,41,450,3,1,3,15,17.073441614049575,21,84,1,0,7,-2.6640637270756997,3.0,7,1,9,0,0,3,3,38.0,4,4,14,160,37.0,40.0,25.0,7.0
2025,2,NYJ,BUF,REG,10,22,83,1,0,4,5,-4.127607465197798,21,100,0,1,5,-9.752684976267638,1.0,2,0,6,1,0,1,1,51.0,1,1,5,35,10.0,30.0,28.0,6.0
2025,2,PHI,KC,REG,15,22,101,0,0,2,4,-4.85998605615568,34,122,2,0,9,2.4358081016107462,2.0,10,1,4,1,0,2,2,58.0,2,2,6,48,20.0,17.0,17.5,5.0
2025,2,PIT,SEA,REG,20,35,215,1,2,3,6,-7.798906615701059,21,72,0,0,6,-4.128408530410377,2.0,8,2,6,0,0,3,3,48.0,0,0,2,15,17.0,31.0,17.0,3.0
2025,2,SEA,PIT,REG,22,33,295,2,2,2,13,2.854062096416647,29,117,1,0,8,1.8983401061268523,3.0,8,2,5,0,0,1,2,54.0,4,4,2,10,31.0,17.0,18.0,5.0
2025,2,SF,NO,REG,26,39,279,3,0,3,15,2.688142357473266,26,77,0,0,6,-3.4588275047717616,3.0,5,0,3,2,0,2,2,46.0,2,3,5,40,26.0,21.0,28.5,6.0
2025,2,TB,HOU,REG,25,38,215,2,0,4,12,-0.643385174034916,30,169,1,0,9,10.471795816905797,3.0,6,0,2,0,0,0,1,,2,2,7,45,20.0,19.0,21.0,4.0
2025,2,TEN,LA,REG,19,33,175,1,0,5,10,-6.7339741762074565,26,109,0,0,7,-1.183518824098611,1.0,6,1,4,0,0,4,4,57.0,1,1,10,62,19.0,33.0,23.0,7.0
2025,2,WAS,GB,REG,24,42,200,2,0,4,10,-9.158630191520102,19,51,0,0,3,-2.615707643679343,2.0,4,0,3,0,0,1,3,51.0,1,1,5,30,18.0,27.0,0.0,0.0
2025,3,ARI,SF,REG,22,35,159,1,0,1,8,-0.6186131590061501,28,106,0,0,7,-0.08796402605366893,1.0,8,1,4,0,0,2,3,34.0,1,1,5,30,15.0,16.0,21.0,4.0
2025,3,ATL,CAR,REG,23,43,201,0,2,0,11,-21.848133884173095,23,131,0,1,6,-0.5324786291457713,1.0,3,0,2,0,0,0,2,,0,0,3,23,0.0,30.0,28.5,6.0
2025,3,BAL,DET,REG,21,28,288,3,0,7,14,10.563762240672784,19,85,1,1,4,-6.811250479891896,0.0,6,0,1,0,0,1,1,41.0,3,3,3,10,30.0,38.0,21.0,4.0
2025,3,BUF,MIA,REG,22,28,213,3,0,2,12,10.64952215948613,27,157,1,0,9,5.155296267549694,0.0,1,1,3,0,0,1,2,48.0,4,4,3,35,31.0,21.0,21.0,6.0
2025,3,CAR,ATL,REG,16,24,121,0,0,1,7,-2.4837949486153077,30,110,2,0,8,2.0001413919962943,0.0,2,2,3,1,1,3,3,57.0,3,3,6,55,30.0,0.0,13.5,2.0
2025,3,CHI,DAL,REG,19,28,298,4,0,0,11,17.979574728623284,29,87,0,0,7,-1.3850439606467262,2.0,7,3,6,1,0,1,1,30.0,4,4,6,41,31.0,14.0,18.5,5.0
2025,3,CIN,MIN,REG,19,27,140,1,2,4,6,-19.309545476528342,21,53,0,1,3,-7.13378103642026,3.0,5,0,1,1,0,1,1,45.0,1,1,4,45,10.0,48.0,18.0,5.0
2025,3,CLE,GB,REG,21,36,142,0,1,2,7,-8.7097985782642,19,96,1,0,5,0.6838430766802048,5.0,7,1,2,1,0,2,2,55.0,1,1,8,90,13.0,10.0,21.5,6.0
2025,3,DAL,CHI,REG,34,45,292,1,3,2,14,-2.622585613511912,20,121,0,1,6,-0.0649206715170294,0.0,1,0,3,0,0,2,2,53.0,0,0,4,25,14.0,31.0,15.0,4.0
2025,3,DEN,LAC,REG,14,25,153,1,0,2,5,-1.5255322747893847,21,118,1,0,3,-0.6456146537093446,5.0,14,1,7,2,0,2,2,42.0,2,2,10,90,20.0,23.0,3.5,1.0
2025,3,DET,BAL,REG,20,28,202,1,0,0,11,14.249866356456977,38,224,4,0,13,9.481793925893726,7.0,7,0,2,2,0,1,2,45.0,5,5,8,68,38.0,30.0,15.0,4.0
2025,3,GB,CLE,REG,18,25,183,1,1,5,8,-0.9422872209794448,31,81,0,0,4,-3.799871798521092,2.0,10,1,3,0,0,1,2,39.0,1,1,14,75,10.0,13.0,15.0,4.0
2025,3,HOU,JAX,REG,25,38,204,1,2,2,8,-4.190346033706602,19,87,0,0,3,-3.3823644383228384,2.0,5,1,7,0,0,1,2,27.0,1,1,7,66,10.0,17.0,3.5,1.0
2025,3,IND,TEN,REG,18,25,228,1,0,0,10,10.818640147236174,28,137,3,0,9,4.743311626029598,4.0,7,1,4,0,1,2,3,36.0,5,5,4,23,41.0,20.0,11.5,3.0
2025,3,JAX,HOU,REG,20,40,222,0,1,2,10,-9.546405788773784,24,86,2,0,5,-1.065763392224918,2.0,6,2,6,1,0,1,2,39.0,2,2,9,70,17.0,10.0,13.5,4.0
2025,3,KC,NYG,REG,22,37,224,1,0,2,13,8.23080711069923,28,105,1,0,6,0.2622928078926634,2.0,9,2,6,0,0,3,4,54.0,1,2,8,85,22.0,9.0,3.5,1.0
2025,3,LA,PHI,REG,19,34,196,2,1,1,10,-2.479092506006727,31,160,0,0,12,0.2149729178819637,4.0,4,0,6,1,0,4,6,51.0,2,2,4,41,26.0,33.0,0.0,0.0
2025,3,LAC,DEN,REG,28,47,300,1,1,5,17,-2.3949824955743924,28,106,1,0,6,-0.69660783782447,2.0,4,0,3,0,0,3,3,43.0,2,2,3,25,23.0,20.0,15.0,4.0
2025,3,LV,WAS,REG,19,29,289,3,0,5,12,12.24070766654052,28,93,0,0,5,-9.361083445328287,1.0,3,0,2,1,0,1,1,37.0,1,1,6,54,24.0,41.0,21.5,6.0
2025,3,MIA,BUF,REG,22,34,146,2,1,0,11,0.14744083787081763,25,130,1,0,9,3.01154395902995,2.0,2,0,3,0,0,0,0,,3,3,6,57,21.0,31.0,10.5,3.0
2025,3,MIN,CIN,REG,16,24,202,2,0,3,10,5.620568110327859,31,169,2,0,11,1.4008431592956185,4.0,9,2,5,5,1,2,2,62.0,6,6,13,105,48.0,10.0,17.5,3.0
2025,3,NE,PIT,REG,28,37,268,2,1,5,13,1.4129189930099528,29,119,0,3,10,-12.592828947701491,0.0,3,1,1,1,0,0,0,,2,2,7,54,14.0,21.0,14.0,4.0
2025,3,NO,SEA,REG,28,41,218,1,1,2,12,-0.3314016877513537,27,79,0,0,4,-8.009121739596594,0.0,2,0,2,1,0,2,3,27.0,1,1,11,77,13.0,44.0,21.5,6.0
2025,3,NYG,KC,REG,18,32,160,0,2,2,7,-14.818524984584656,27,130,1,0,8,-0.422504970704646,1.0,7,0,6,1,0,1,1,25.0,0,1,7,82,9.0,22.0,25.0,7.0
2025,3,NYJ,TB,REG,26,36,197,2,1,4,13,-7.886901567328738,23,99,0,0,5,-3.53839694254566,1.0,2,0,2,1,0,2,2,42.0,3,3,7,81,27.0,29.0,28.0,6.0
2025,3,PHI,LA,REG,21,32,226,3,0,4,9,-0.21159855952998619,27,86,1,0,8,1.259862583305221,1.0,7,1,4,0,0,0,0,,3,3,5,50,33.0,26.0,17.5,5.0
2025,3,PIT,NE,REG,16,23,139,2,1,0,6,0.19340494932839647,26,64,1,0,7,-2.5897415331273805,5.0,8,1,5,4,0,0,0,,3,3,8,59,21.0,14.0,17.0,3.0
2025,3,SEA,NO,REG,16,21,233,2,0,0,11,16.074012299435225,33,87,2,1,7,-8.591331416158937,2.0,8,1,7,0,0,3,3,56.0,5,5,8,70,44.0,13.0,18.0,5.0
